			Lead Left	Lead Right
-------------------------------------------
DIPS
82.	 113.1 	 C1 - 2.5 mA	 C0 - 2.5 mA 	 (0.94 / 0.30) 
83.	 112.9 	 C2 - 3.0 mA	 C0 - 5.0 mA 	 (1.00 / 0.31) 
84.	 112.9 	 C3 - 4.0 mA	 C0 - 4.5 mA 	 (1.00 / 0.30) 
85.	 112.9 	 C1 - 2.0 mA	 C0 - 3.0 mA 	 (0.96 / 0.30) 
86.	 112.8 	 C3 - 4.0 mA	 C0 - 4.0 mA 	 (1.00 / 0.30) 
87.	 112.7 	 C1 - 2.0 mA	 C0 - 3.5 mA 	 (0.96 / 0.30) 
88.	 112.6 	 C2 - 4.5 mA	 C1 - 2.0 mA 	 (1.00 / 0.69) 
89.	 112.6 	 C2 - 5.0 mA	 C3 - 2.0 mA 	 (1.00 / 0.98) 
90.	 112.5 	 C2 - 5.5 mA	 C3 - 2.0 mA 	 (0.99 / 0.98) 
91.	 112.1 	 C1 - 1.5 mA	 C0 - 2.5 mA 	 (0.98 / 0.30) 
92.	 112.0 	 C2 - 5.0 mA	 C2 - 1.5 mA 	 (1.00 / 1.00) 
93.	 112.0 	 C1 - 2.5 mA	 C0 - 3.5 mA 	 (0.94 / 0.30) 
94.	 111.9 	 C2 - 5.0 mA	 C1 - 3.0 mA 	 (1.00 / 0.65) 
95.	 111.9 	 C1 - 2.5 mA	 C0 - 3.0 mA 	 (0.94 / 0.30) 
96.	 111.9 	 C3 - 3.0 mA	 C0 - 3.0 mA 	 (1.00 / 0.30) 
97.	 111.7 	 C2 - 2.0 mA	 C0 - 4.5 mA 	 (1.00 / 0.30) 
98.	 111.6 	 C1 - 2.0 mA	 C0 - 2.0 mA 	 (0.96 / 0.29) 
99.	 111.5 	 C1 - 3.0 mA	 C0 - 2.5 mA 	 (0.91 / 0.30) 
100.	 111.4 	 C2 - 2.5 mA	 C0 - 2.0 mA 	 (1.00 / 0.29) 
101.	 111.3 	 C2 - 5.5 mA	 C1 - 2.5 mA 	 (0.99 / 0.67) 
102.	 111.3 	 C2 - 1.5 mA	 C0 - 3.0 mA 	 (1.00 / 0.30) 
103.	 111.0 	 C3 - 4.0 mA	 C0 - 3.0 mA 	 (1.00 / 0.30) 
104.	 111.0 	 C2 - 5.0 mA	 C1 - 5.5 mA 	 (1.00 / 0.58) 
105.	 111.0 	 C2 - 1.5 mA	 C0 - 2.5 mA 	 (1.00 / 0.30) 
106.	 110.8 	 C1 - 5.5 mA	 C0 - 2.5 mA 	 (0.82 / 0.30) 
107.	 110.7 	 C1 - 3.0 mA	 C0 - 3.5 mA 	 (0.91 / 0.30) 
108.	 110.7 	 C2 - 5.0 mA	 C1 - 5.0 mA 	 (1.00 / 0.59) 
109.	 110.7 	 C1 - 4.5 mA	 C0 - 2.5 mA 	 (0.85 / 0.30) 
110.	 110.6 	 C1 - 5.5 mA	 C0 - 3.5 mA 	 (0.82 / 0.30) 
111.	 110.6 	 C1 - 3.0 mA	 C0 - 3.0 mA 	 (0.91 / 0.30) 
112.	 110.5 	 C1 - 2.5 mA	 C0 - 2.0 mA 	 (0.94 / 0.29) 
113.	 110.4 	 C1 - 5.0 mA	 C0 - 2.5 mA 	 (0.84 / 0.30) 
114.	 110.4 	 C1 - 4.0 mA	 C0 - 2.5 mA 	 (0.87 / 0.30) 
115.	 110.4 	 C1 - 3.5 mA	 C0 - 2.5 mA 	 (0.89 / 0.30) 
