			3389-Left	3389-Right
-------------------------------------------
DIPS
1.	 61.5 	 C1 - 1.5 mA	 C0 - 5.5 mA 	 (0.66 / 0.74) 
no DIPSalt.settings found
-------------------------------------------
122.	 67.8 	 C2 - 5.0 mA	 C0 - 1.5 mA 	 (0.38 / 0.94) 
123.	 67.7 	 C2 - 5.5 mA	 C3 - 4.0 mA 	 (0.38 / 0.55) 
124.	 67.7 	 C2 - 4.0 mA	 C0 - 1.5 mA 	 (0.38 / 0.94) 
125.	 67.7 	 C2 - 3.0 mA	 C3 - 4.0 mA 	 (0.39 / 0.55) 
126.	 67.6 	 C2 - 5.5 mA	 C3 - 2.5 mA 	 (0.38 / 0.57) 
127.	 67.6 	 C2 - 5.0 mA	 C3 - 4.0 mA 	 (0.38 / 0.55) 
128.	 67.6 	 C2 - 5.0 mA	 C3 - 2.5 mA 	 (0.38 / 0.57) 
129.	 67.5 	 C2 - 4.5 mA	 C3 - 4.0 mA 	 (0.38 / 0.55) 
130.	 67.4 	 C3 - 4.5 mA	 C1 - 2.5 mA 	 (0.18 / 0.85) 
131.	 67.4 	 C2 - 4.5 mA	 C3 - 2.5 mA 	 (0.38 / 0.57) 
132.	 67.4 	 C2 - 3.0 mA	 C3 - 2.5 mA 	 (0.39 / 0.57) 
133.	 67.3 	 C2 - 3.0 mA	 C0 - 4.5 mA 	 (0.39 / 0.77) 
134.	 67.2 	 C2 - 4.5 mA	 C0 - 1.5 mA 	 (0.38 / 0.94) 
135.	 67.2 	 C3 - 2.5 mA	 C0 - 5.0 mA 	 (0.15 / 0.75) 
136.	 67.0 	 C2 - 1.5 mA	 C0 - 5.5 mA 	 (0.44 / 0.74) 
137.	 66.9 	 C3 - 4.0 mA	 C0 - 3.5 mA 	 (0.18 / 0.81) 
138.	 66.8 	 C3 - 3.5 mA	 C0 - 4.0 mA 	 (0.17 / 0.79) 
139.	 66.7 	 C2 - 3.5 mA	 C0 - 1.5 mA 	 (0.38 / 0.94) 
140.	 66.7 	 C3 - 2.0 mA	 C0 - 5.5 mA 	 (0.13 / 0.74) 
141.	 66.7 	 C2 - 2.0 mA	 C0 - 5.0 mA 	 (0.41 / 0.75) 
142.	 66.6 	 C3 - 5.5 mA	 C0 - 2.0 mA 	 (0.20 / 0.90) 
143.	 66.5 	 C3 - 2.5 mA	 C3 - 3.5 mA 	 (0.15 / 0.56) 
144.	 66.4 	 C2 - 3.5 mA	 C0 - 4.0 mA 	 (0.38 / 0.79) 
145.	 66.2 	 C3 - 4.5 mA	 C3 - 5.0 mA 	 (0.18 / 0.54) 
146.	 66.2 	 C3 - 5.0 mA	 C0 - 3.5 mA 	 (0.20 / 0.81) 
147.	 66.1 	 C2 - 5.5 mA	 C0 - 3.5 mA 	 (0.38 / 0.81) 
148.	 66.0 	 C3 - 5.0 mA	 C2 - 1.5 mA 	 (0.20 / 0.82) 
149.	 65.9 	 C3 - 5.0 mA	 C1 - 2.0 mA 	 (0.20 / 0.89) 
150.	 65.9 	 C2 - 2.5 mA	 C3 - 3.5 mA 	 (0.40 / 0.56) 
151.	 65.7 	 C2 - 5.5 mA	 C3 - 2.0 mA 	 (0.38 / 0.59) 
152.	 65.7 	 C2 - 5.5 mA	 C3 - 1.5 mA 	 (0.38 / 0.61) 
153.	 65.6 	 C2 - 5.5 mA	 C3 - 4.5 mA 	 (0.38 / 0.54) 
154.	 65.6 	 C2 - 4.0 mA	 C3 - 2.0 mA 	 (0.38 / 0.59) 
155.	 65.5 	 C2 - 5.0 mA	 C3 - 2.0 mA 	 (0.38 / 0.59) 
156.	 65.5 	 C2 - 4.0 mA	 C3 - 4.5 mA 	 (0.38 / 0.54) 
157.	 65.5 	 C2 - 4.0 mA	 C3 - 1.5 mA 	 (0.38 / 0.61) 
158.	 65.5 	 C2 - 5.0 mA	 C3 - 1.5 mA 	 (0.38 / 0.61) 
159.	 65.4 	 C2 - 5.0 mA	 C3 - 4.5 mA 	 (0.38 / 0.54) 
160.	 65.4 	 C3 - 3.5 mA	 C2 - 1.5 mA 	 (0.17 / 0.82) 
161.	 65.4 	 C3 - 4.0 mA	 C3 - 5.0 mA 	 (0.18 / 0.54) 
162.	 65.4 	 C3 - 5.5 mA	 C1 - 2.5 mA 	 (0.20 / 0.85) 
163.	 65.3 	 C3 - 3.0 mA	 C3 - 2.0 mA 	 (0.16 / 0.59) 
164.	 65.3 	 C3 - 4.5 mA	 C3 - 5.5 mA 	 (0.18 / 0.53) 
165.	 65.3 	 C3 - 3.0 mA	 C3 - 1.5 mA 	 (0.16 / 0.61) 
166.	 65.3 	 C2 - 3.5 mA	 C3 - 4.5 mA 	 (0.38 / 0.54) 
167.	 65.3 	 C2 - 5.0 mA	 C0 - 3.5 mA 	 (0.38 / 0.81) 
168.	 65.3 	 C3 - 4.0 mA	 C0 - 2.0 mA 	 (0.18 / 0.90) 
169.	 65.2 	 C3 - 2.5 mA	 C3 - 3.0 mA 	 (0.15 / 0.56) 
170.	 65.2 	 C2 - 3.5 mA	 C3 - 2.0 mA 	 (0.38 / 0.59) 
171.	 65.2 	 C2 - 4.5 mA	 C3 - 4.5 mA 	 (0.38 / 0.54) 
172.	 65.2 	 C2 - 4.5 mA	 C3 - 2.0 mA 	 (0.38 / 0.59) 
173.	 65.1 	 C2 - 4.5 mA	 C3 - 1.5 mA 	 (0.38 / 0.61) 
174.	 65.1 	 C2 - 3.5 mA	 C3 - 1.5 mA 	 (0.38 / 0.61) 
175.	 65.1 	 C3 - 3.0 mA	 C0 - 4.5 mA 	 (0.16 / 0.77) 
176.	 65.1 	 C3 - 3.0 mA	 C3 - 4.5 mA 	 (0.16 / 0.54) 
177.	 65.0 	 C2 - 3.0 mA	 C0 - 1.5 mA 	 (0.39 / 0.94) 
178.	 64.9 	 C2 - 2.5 mA	 C3 - 3.0 mA 	 (0.40 / 0.56) 
179.	 64.9 	 C3 - 4.0 mA	 C1 - 2.5 mA 	 (0.18 / 0.85) 
180.	 64.9 	 C3 - 5.5 mA	 C3 - 5.0 mA 	 (0.20 / 0.54) 
181.	 64.9 	 C3 - 2.5 mA	 C3 - 4.0 mA 	 (0.15 / 0.55) 
182.	 64.8 	 C2 - 2.5 mA	 C3 - 4.0 mA 	 (0.40 / 0.55) 
183.	 64.8 	 C2 - 3.0 mA	 C3 - 4.5 mA 	 (0.39 / 0.54) 
184.	 64.8 	 C3 - 4.5 mA	 C0 - 3.0 mA 	 (0.18 / 0.83) 
185.	 64.7 	 C2 - 3.0 mA	 C0 - 4.0 mA 	 (0.39 / 0.79) 
186.	 64.6 	 C3 - 1.5 mA	 C0 - 5.5 mA 	 (0.12 / 0.74) 
187.	 64.5 	 C2 - 3.0 mA	 C3 - 2.0 mA 	 (0.39 / 0.59) 
188.	 64.4 	 C3 - 5.5 mA	 C0 - 3.0 mA 	 (0.20 / 0.83) 
189.	 64.4 	 C3 - 4.0 mA	 C3 - 5.5 mA 	 (0.18 / 0.53) 
190.	 64.3 	 C2 - 3.0 mA	 C3 - 1.5 mA 	 (0.39 / 0.61) 
191.	 64.2 	 C2 - 5.5 mA	 C1 - 1.5 mA 	 (0.38 / 0.94) 
192.	 64.1 	 C3 - 5.5 mA	 C3 - 5.5 mA 	 (0.20 / 0.53) 
193.	 64.0 	 C2 - 2.5 mA	 C3 - 2.5 mA 	 (0.40 / 0.57) 
194.	 64.0 	 C3 - 2.5 mA	 C3 - 2.5 mA 	 (0.15 / 0.57) 
195.	 63.9 	 C3 - 4.5 mA	 C1 - 3.0 mA 	 (0.18 / 0.82) 
196.	 63.9 	 C3 - 3.5 mA	 C1 - 2.0 mA 	 (0.17 / 0.89) 
197.	 63.8 	 C2 - 4.5 mA	 C0 - 3.5 mA 	 (0.38 / 0.81) 
198.	 63.8 	 C2 - 2.0 mA	 C3 - 3.5 mA 	 (0.41 / 0.56) 
199.	 63.8 	 C2 - 5.0 mA	 C1 - 1.5 mA 	 (0.38 / 0.94) 
200.	 63.7 	 C3 - 4.5 mA	 C2 - 2.0 mA 	 (0.18 / 0.78) 
201.	 63.6 	 C2 - 4.0 mA	 C0 - 3.5 mA 	 (0.38 / 0.81) 
202.	 63.6 	 C2 - 1.5 mA	 C0 - 5.0 mA 	 (0.44 / 0.75) 
203.	 63.5 	 C3 - 5.0 mA	 C3 - 5.0 mA 	 (0.20 / 0.54) 
204.	 63.5 	 C2 - 2.5 mA	 C0 - 4.5 mA 	 (0.40 / 0.77) 
205.	 63.4 	 C2 - 4.0 mA	 C1 - 1.5 mA 	 (0.38 / 0.94) 
206.	 63.3 	 C3 - 2.0 mA	 C0 - 5.0 mA 	 (0.13 / 0.75) 
207.	 63.3 	 C3 - 3.0 mA	 C0 - 1.5 mA 	 (0.16 / 0.94) 
208.	 63.1 	 C2 - 4.5 mA	 C1 - 1.5 mA 	 (0.38 / 0.94) 
209.	 63.1 	 C3 - 3.5 mA	 C0 - 3.5 mA 	 (0.17 / 0.81) 
210.	 63.0 	 C3 - 3.5 mA	 C3 - 5.0 mA 	 (0.17 / 0.54) 
211.	 62.8 	 C3 - 5.0 mA	 C3 - 5.5 mA 	 (0.20 / 0.53) 
212.	 62.8 	 C3 - 5.0 mA	 C0 - 2.0 mA 	 (0.20 / 0.90) 
213.	 62.8 	 C2 - 5.5 mA	 C2 - 1.5 mA 	 (0.38 / 0.82) 
214.	 62.7 	 C2 - 2.0 mA	 C3 - 4.0 mA 	 (0.41 / 0.55) 
215.	 62.6 	 C3 - 3.0 mA	 C0 - 4.0 mA 	 (0.16 / 0.79) 
216.	 62.6 	 C3 - 5.5 mA	 C1 - 3.0 mA 	 (0.20 / 0.82) 
217.	 62.6 	 C2 - 2.0 mA	 C3 - 3.0 mA 	 (0.41 / 0.56) 
218.	 62.5 	 C3 - 4.0 mA	 C0 - 3.0 mA 	 (0.18 / 0.83) 
219.	 62.5 	 C2 - 3.5 mA	 C1 - 1.5 mA 	 (0.38 / 0.94) 
