			3387-Left	3387-Right
-------------------------------------------
DIPS
108.	 88.4 	 C0 - 2.0 mA	 C0 - 5.0 mA 	 (1.00 / 0.28) 
109.	 88.4 	 C3 - 4.5 mA	 C0 - 3.0 mA 	 (0.31 / 0.27) 
110.	 88.4 	 C0 - 1.5 mA	 C0 - 3.5 mA 	 (1.00 / 0.28) 
111.	 88.4 	 C0 - 2.5 mA	 C0 - 5.5 mA 	 (1.00 / 0.28) 
112.	 88.3 	 C0 - 4.5 mA	 C0 - 4.5 mA 	 (0.99 / 0.28) 
113.	 88.3 	 C3 - 1.5 mA	 C0 - 5.0 mA 	 (0.23 / 0.28) 
114.	 88.3 	 C0 - 5.5 mA	 C0 - 4.0 mA 	 (0.98 / 0.28) 
115.	 88.3 	 C0 - 4.5 mA	 C0 - 1.5 mA 	 (0.99 / 0.23) 
116.	 88.2 	 C0 - 4.0 mA	 C0 - 5.0 mA 	 (1.00 / 0.28) 
117.	 88.2 	 C3 - 4.0 mA	 C0 - 5.0 mA 	 (0.30 / 0.28) 
118.	 88.1 	 C3 - 4.5 mA	 C0 - 4.0 mA 	 (0.31 / 0.28) 
119.	 88.1 	 C0 - 5.0 mA	 C0 - 4.5 mA 	 (0.98 / 0.28) 
120.	 87.9 	 C0 - 4.5 mA	 C0 - 5.0 mA 	 (0.99 / 0.28) 
121.	 87.8 	 C0 - 5.5 mA	 C0 - 4.5 mA 	 (0.98 / 0.28) 
122.	 87.8 	 C0 - 5.0 mA	 C0 - 1.5 mA 	 (0.98 / 0.23) 
123.	 87.7 	 C0 - 4.0 mA	 C0 - 5.5 mA 	 (1.00 / 0.28) 
124.	 87.7 	 C0 - 2.0 mA	 C0 - 5.5 mA 	 (1.00 / 0.28) 
125.	 87.7 	 C0 - 5.0 mA	 C0 - 5.0 mA 	 (0.98 / 0.28) 
126.	 87.7 	 C3 - 1.5 mA	 C0 - 5.5 mA 	 (0.23 / 0.28) 
127.	 87.6 	 C3 - 4.0 mA	 C0 - 5.5 mA 	 (0.30 / 0.28) 
128.	 87.5 	 C3 - 4.5 mA	 C0 - 4.5 mA 	 (0.31 / 0.28) 
129.	 87.4 	 C0 - 5.5 mA	 C0 - 5.0 mA 	 (0.98 / 0.28) 
130.	 87.4 	 C2 - 2.0 mA	 C0 - 3.5 mA 	 (0.94 / 0.28) 
131.	 87.4 	 C0 - 4.5 mA	 C0 - 5.5 mA 	 (0.99 / 0.28) 
132.	 87.4 	 C2 - 2.0 mA	 C0 - 3.0 mA 	 (0.94 / 0.27) 
133.	 87.4 	 C2 - 2.0 mA	 C0 - 2.5 mA 	 (0.94 / 0.25) 
134.	 87.3 	 C0 - 5.5 mA	 C0 - 1.5 mA 	 (0.98 / 0.23) 
135.	 87.3 	 C3 - 4.5 mA	 C0 - 5.0 mA 	 (0.31 / 0.28) 
136.	 87.3 	 C0 - 5.0 mA	 C0 - 5.5 mA 	 (0.98 / 0.28) 
137.	 87.3 	 C2 - 1.5 mA	 C0 - 4.0 mA 	 (0.98 / 0.28) 
138.	 87.2 	 C0 - 1.5 mA	 C0 - 4.0 mA 	 (1.00 / 0.28) 
139.	 87.1 	 C2 - 1.5 mA	 C0 - 2.0 mA 	 (0.98 / 0.24) 
140.	 87.1 	 C3 - 4.5 mA	 C0 - 2.5 mA 	 (0.31 / 0.25) 
141.	 87.1 	 C0 - 1.5 mA	 C0 - 2.0 mA 	 (1.00 / 0.24) 
142.	 87.0 	 C0 - 5.5 mA	 C0 - 5.5 mA 	 (0.98 / 0.28) 
143.	 86.8 	 C3 - 4.5 mA	 C0 - 5.5 mA 	 (0.31 / 0.28) 
144.	 86.5 	 C2 - 1.5 mA	 C0 - 4.5 mA 	 (0.98 / 0.28) 
145.	 86.5 	 C0 - 1.5 mA	 C0 - 4.5 mA 	 (1.00 / 0.28) 
146.	 86.4 	 C3 - 4.0 mA	 C0 - 2.0 mA 	 (0.30 / 0.24) 
147.	 86.4 	 C2 - 2.0 mA	 C0 - 4.0 mA 	 (0.94 / 0.28) 
148.	 86.3 	 C2 - 2.5 mA	 C0 - 3.5 mA 	 (0.91 / 0.28) 
149.	 86.1 	 C2 - 2.5 mA	 C0 - 3.0 mA 	 (0.91 / 0.27) 
150.	 86.0 	 C0 - 1.5 mA	 C0 - 5.0 mA 	 (1.00 / 0.28) 
151.	 86.0 	 C2 - 1.5 mA	 C0 - 5.0 mA 	 (0.98 / 0.28) 
152.	 85.8 	 C2 - 2.5 mA	 C0 - 2.5 mA 	 (0.91 / 0.25) 
153.	 85.7 	 C2 - 2.0 mA	 C0 - 4.5 mA 	 (0.94 / 0.28) 
154.	 85.5 	 C3 - 5.0 mA	 C0 - 3.5 mA 	 (0.31 / 0.28) 
155.	 85.4 	 C0 - 1.5 mA	 C0 - 5.5 mA 	 (1.00 / 0.28) 
156.	 85.4 	 C2 - 2.5 mA	 C0 - 4.0 mA 	 (0.91 / 0.28) 
157.	 85.4 	 C2 - 1.5 mA	 C0 - 5.5 mA 	 (0.98 / 0.28) 
158.	 85.4 	 C2 - 3.0 mA	 C0 - 3.5 mA 	 (0.86 / 0.28) 
159.	 85.3 	 C2 - 2.0 mA	 C0 - 2.0 mA 	 (0.94 / 0.24) 
160.	 85.3 	 C3 - 3.5 mA	 C0 - 1.5 mA 	 (0.30 / 0.23) 
161.	 85.3 	 C2 - 2.0 mA	 C0 - 5.0 mA 	 (0.94 / 0.28) 
162.	 85.2 	 C3 - 5.0 mA	 C0 - 4.0 mA 	 (0.31 / 0.28) 
163.	 85.0 	 C2 - 3.0 mA	 C0 - 3.0 mA 	 (0.86 / 0.27) 
164.	 84.9 	 C3 - 5.0 mA	 C0 - 5.0 mA 	 (0.31 / 0.28) 
165.	 84.8 	 C3 - 5.0 mA	 C0 - 4.5 mA 	 (0.31 / 0.28) 
166.	 84.8 	 C2 - 2.5 mA	 C0 - 4.5 mA 	 (0.91 / 0.28) 
167.	 84.7 	 C2 - 2.0 mA	 C0 - 5.5 mA 	 (0.94 / 0.28) 
168.	 84.6 	 C2 - 3.0 mA	 C0 - 4.0 mA 	 (0.86 / 0.28) 
169.	 84.6 	 C2 - 3.0 mA	 C0 - 2.5 mA 	 (0.86 / 0.25) 
170.	 84.5 	 C3 - 5.0 mA	 C0 - 5.5 mA 	 (0.31 / 0.28) 
171.	 84.5 	 C2 - 2.5 mA	 C0 - 5.0 mA 	 (0.91 / 0.28) 
172.	 84.2 	 C3 - 5.0 mA	 C0 - 3.0 mA 	 (0.31 / 0.27) 
173.	 84.1 	 C2 - 3.0 mA	 C0 - 4.5 mA 	 (0.86 / 0.28) 
174.	 84.0 	 C1 - 1.5 mA	 C0 - 3.5 mA 	 (1.00 / 0.28) 
175.	 83.9 	 C2 - 2.5 mA	 C0 - 5.5 mA 	 (0.91 / 0.28) 
176.	 83.8 	 C2 - 3.0 mA	 C0 - 5.0 mA 	 (0.86 / 0.28) 
177.	 83.7 	 C0 - 1.5 mA	 C0 - 1.5 mA 	 (1.00 / 0.23) 
178.	 83.7 	 C3 - 4.5 mA	 C0 - 2.0 mA 	 (0.31 / 0.24) 
179.	 83.7 	 C1 - 1.5 mA	 C0 - 3.0 mA 	 (1.00 / 0.27) 
180.	 83.6 	 C3 - 5.5 mA	 C0 - 3.5 mA 	 (0.31 / 0.28) 
181.	 83.5 	 C3 - 5.5 mA	 C0 - 5.0 mA 	 (0.31 / 0.28) 
182.	 83.5 	 C3 - 5.5 mA	 C0 - 4.0 mA 	 (0.31 / 0.28) 
183.	 83.4 	 C1 - 1.5 mA	 C0 - 4.0 mA 	 (1.00 / 0.28) 
184.	 83.4 	 C2 - 2.5 mA	 C0 - 2.0 mA 	 (0.91 / 0.24) 
185.	 83.3 	 C2 - 3.0 mA	 C0 - 5.5 mA 	 (0.86 / 0.28) 
186.	 83.3 	 C3 - 5.5 mA	 C0 - 4.5 mA 	 (0.31 / 0.28) 
187.	 83.1 	 C3 - 5.5 mA	 C0 - 5.5 mA 	 (0.31 / 0.28) 
188.	 83.1 	 C1 - 1.5 mA	 C0 - 2.5 mA 	 (1.00 / 0.25) 
189.	 83.0 	 C1 - 1.5 mA	 C0 - 4.5 mA 	 (1.00 / 0.28) 
190.	 82.8 	 C1 - 1.5 mA	 C0 - 5.0 mA 	 (1.00 / 0.28) 
