			3387-Left	3387-Right
-------------------------------------------
DIPS
84.	 88.8 	 C1 - 2.5 mA	 C1 - 2.0 mA 	 (0.99 / 1.00) 
85.	 88.8 	 C0 - 2.5 mA	 C1 - 2.5 mA 	 (0.84 / 1.00) 
86.	 88.8 	 C1 - 3.5 mA	 C1 - 4.5 mA 	 (0.97 / 0.99) 
87.	 88.6 	 C0 - 2.0 mA	 C1 - 5.5 mA 	 (0.86 / 0.96) 
88.	 88.5 	 C1 - 2.0 mA	 C2 - 4.5 mA 	 (1.00 / 1.00) 
89.	 88.4 	 C1 - 3.5 mA	 C1 - 3.0 mA 	 (0.97 / 1.00) 
90.	 88.2 	 C0 - 1.5 mA	 C2 - 4.5 mA 	 (0.90 / 1.00) 
91.	 88.1 	 C0 - 2.5 mA	 C1 - 5.0 mA 	 (0.84 / 0.97) 
92.	 88.1 	 C2 - 1.5 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
93.	 87.6 	 C0 - 3.5 mA	 C1 - 3.5 mA 	 (0.80 / 1.00) 
94.	 87.6 	 C0 - 3.5 mA	 C2 - 5.5 mA 	 (0.80 / 1.00) 
95.	 87.4 	 C0 - 3.5 mA	 C1 - 4.0 mA 	 (0.80 / 0.99) 
96.	 87.3 	 C1 - 2.0 mA	 C2 - 2.5 mA 	 (1.00 / 1.00) 
97.	 87.2 	 C0 - 2.5 mA	 C1 - 5.5 mA 	 (0.84 / 0.96) 
98.	 87.1 	 C2 - 1.5 mA	 C1 - 4.5 mA 	 (1.00 / 0.99) 
99.	 87.1 	 C1 - 3.5 mA	 C2 - 5.5 mA 	 (0.97 / 1.00) 
100.	 87.0 	 C1 - 4.0 mA	 C1 - 4.0 mA 	 (0.96 / 0.99) 
101.	 87.0 	 C1 - 2.0 mA	 C2 - 4.0 mA 	 (1.00 / 1.00) 
102.	 87.0 	 C1 - 2.5 mA	 C2 - 4.5 mA 	 (0.99 / 1.00) 
103.	 87.0 	 C1 - 3.5 mA	 C1 - 5.0 mA 	 (0.97 / 0.97) 
104.	 86.8 	 C1 - 2.0 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
105.	 86.8 	 C1 - 4.0 mA	 C1 - 3.5 mA 	 (0.96 / 1.00) 
106.	 86.5 	 C1 - 3.5 mA	 C1 - 5.5 mA 	 (0.97 / 0.96) 
107.	 86.4 	 C0 - 3.0 mA	 C1 - 5.0 mA 	 (0.82 / 0.97) 
108.	 86.2 	 C1 - 2.0 mA	 C2 - 3.5 mA 	 (1.00 / 1.00) 
109.	 86.2 	 C0 - 2.0 mA	 C2 - 4.5 mA 	 (0.86 / 1.00) 
110.	 85.9 	 C1 - 4.0 mA	 C1 - 4.5 mA 	 (0.96 / 0.99) 
111.	 85.9 	 C0 - 3.5 mA	 C2 - 5.0 mA 	 (0.80 / 1.00) 
112.	 85.9 	 C1 - 3.0 mA	 C1 - 2.0 mA 	 (0.98 / 1.00) 
113.	 85.9 	 C1 - 2.0 mA	 C2 - 3.0 mA 	 (1.00 / 1.00) 
114.	 85.8 	 C0 - 3.5 mA	 C1 - 4.5 mA 	 (0.80 / 0.99) 
115.	 85.8 	 C1 - 3.5 mA	 C2 - 5.0 mA 	 (0.97 / 1.00) 
116.	 85.7 	 C0 - 3.0 mA	 C1 - 5.5 mA 	 (0.82 / 0.96) 
117.	 85.6 	 C1 - 2.0 mA	 C2 - 2.0 mA 	 (1.00 / 1.00) 
118.	 85.6 	 C1 - 3.0 mA	 C2 - 4.5 mA 	 (0.98 / 1.00) 
119.	 85.5 	 C1 - 2.5 mA	 C2 - 4.0 mA 	 (0.99 / 1.00) 
120.	 85.5 	 C0 - 1.5 mA	 C2 - 4.0 mA 	 (0.90 / 1.00) 
121.	 85.4 	 C0 - 3.5 mA	 C1 - 3.0 mA 	 (0.80 / 1.00) 
122.	 85.3 	 C1 - 4.5 mA	 C1 - 4.0 mA 	 (0.95 / 0.99) 
123.	 85.2 	 C1 - 2.0 mA	 C2 - 1.5 mA 	 (1.00 / 1.00) 
124.	 84.9 	 C0 - 1.5 mA	 C2 - 2.5 mA 	 (0.90 / 1.00) 
125.	 84.9 	 C1 - 4.5 mA	 C1 - 3.5 mA 	 (0.95 / 1.00) 
126.	 84.9 	 C0 - 2.5 mA	 C2 - 4.5 mA 	 (0.84 / 1.00) 
127.	 84.8 	 C0 - 2.5 mA	 C1 - 2.0 mA 	 (0.84 / 1.00) 
128.	 84.8 	 C1 - 1.5 mA	 C0 - 4.5 mA 	 (1.00 / 0.55) 
129.	 84.7 	 C1 - 2.5 mA	 C2 - 2.5 mA 	 (0.99 / 1.00) 
130.	 84.7 	 C1 - 1.5 mA	 C0 - 4.0 mA 	 (1.00 / 0.56) 
131.	 84.7 	 C1 - 1.5 mA	 C0 - 5.0 mA 	 (1.00 / 0.53) 
132.	 84.5 	 C1 - 4.0 mA	 C1 - 5.0 mA 	 (0.96 / 0.97) 
133.	 84.5 	 C1 - 4.0 mA	 C1 - 3.0 mA 	 (0.96 / 1.00) 
134.	 84.5 	 C2 - 1.5 mA	 C1 - 5.0 mA 	 (1.00 / 0.97) 
135.	 84.5 	 C0 - 3.0 mA	 C1 - 2.5 mA 	 (0.82 / 1.00) 
136.	 84.4 	 C1 - 2.5 mA	 C2 - 3.5 mA 	 (0.99 / 1.00) 
137.	 84.4 	 C1 - 1.5 mA	 C0 - 5.5 mA 	 (1.00 / 0.52) 
138.	 84.4 	 C1 - 1.5 mA	 C0 - 3.5 mA 	 (1.00 / 0.58) 
139.	 84.4 	 C1 - 4.5 mA	 C1 - 4.5 mA 	 (0.95 / 0.99) 
140.	 84.2 	 C1 - 4.0 mA	 C1 - 5.5 mA 	 (0.96 / 0.96) 
141.	 84.2 	 C1 - 4.0 mA	 C2 - 5.5 mA 	 (0.96 / 1.00) 
142.	 84.1 	 C0 - 4.0 mA	 C2 - 5.5 mA 	 (0.78 / 1.00) 
143.	 84.1 	 C1 - 3.0 mA	 C2 - 4.0 mA 	 (0.98 / 1.00) 
144.	 83.9 	 C0 - 3.5 mA	 C1 - 5.0 mA 	 (0.80 / 0.97) 
145.	 83.8 	 C2 - 1.5 mA	 C1 - 5.5 mA 	 (1.00 / 0.96) 
146.	 83.7 	 C1 - 2.5 mA	 C2 - 3.0 mA 	 (0.99 / 1.00) 
147.	 83.6 	 C2 - 1.5 mA	 C2 - 5.5 mA 	 (1.00 / 1.00) 
148.	 83.6 	 C1 - 3.5 mA	 C1 - 2.5 mA 	 (0.97 / 1.00) 
