			Lead Left	Lead Right
-------------------------------------------
DIPS
148.	 79.3 	 C0 - 1.5 mA	 C0 - 2.0 mA 	 (0.73 / 1.00) 
149.	 79.3 	 C0 - 2.5 mA	 C0 - 2.0 mA 	 (0.66 / 1.00) 
150.	 79.3 	 C0 - 3.0 mA	 C3 - 2.5 mA 	 (0.64 / 0.67) 
151.	 79.1 	 C1 - 3.5 mA	 C2 - 1.5 mA 	 (0.93 / 0.99) 
152.	 79.1 	 C1 - 5.0 mA	 C3 - 3.0 mA 	 (0.87 / 0.64) 
153.	 79.0 	 C1 - 3.5 mA	 C3 - 1.5 mA 	 (0.93 / 0.74) 
154.	 79.0 	 C0 - 3.0 mA	 C0 - 2.0 mA 	 (0.64 / 1.00) 
155.	 78.9 	 C1 - 3.5 mA	 C0 - 1.5 mA 	 (0.93 / 1.00) 
156.	 78.9 	 C1 - 4.5 mA	 C3 - 2.5 mA 	 (0.89 / 0.67) 
157.	 78.8 	 C0 - 5.5 mA	 C3 - 3.0 mA 	 (0.58 / 0.64) 
158.	 78.8 	 C1 - 4.5 mA	 C1 - 2.0 mA 	 (0.89 / 1.00) 
159.	 78.8 	 C1 - 3.0 mA	 C2 - 1.5 mA 	 (0.95 / 0.99) 
160.	 78.7 	 C1 - 3.0 mA	 C3 - 1.5 mA 	 (0.95 / 0.74) 
161.	 78.7 	 C1 - 3.5 mA	 C2 - 2.0 mA 	 (0.93 / 0.98) 
162.	 78.7 	 C1 - 4.5 mA	 C2 - 3.0 mA 	 (0.89 / 0.92) 
163.	 78.7 	 C1 - 4.0 mA	 C3 - 2.5 mA 	 (0.90 / 0.67) 
164.	 78.6 	 C1 - 3.0 mA	 C0 - 1.5 mA 	 (0.95 / 1.00) 
165.	 78.6 	 C1 - 4.0 mA	 C1 - 2.0 mA 	 (0.90 / 1.00) 
166.	 78.6 	 C0 - 4.0 mA	 C3 - 3.0 mA 	 (0.61 / 0.64) 
167.	 78.6 	 C0 - 5.0 mA	 C3 - 3.0 mA 	 (0.59 / 0.64) 
168.	 78.6 	 C1 - 2.0 mA	 C2 - 2.5 mA 	 (0.98 / 0.95) 
169.	 78.5 	 C0 - 4.5 mA	 C3 - 3.0 mA 	 (0.60 / 0.64) 
170.	 78.5 	 C1 - 5.5 mA	 C2 - 3.5 mA 	 (0.85 / 0.89) 
171.	 78.4 	 C1 - 2.5 mA	 C2 - 2.5 mA 	 (0.97 / 0.95) 
172.	 78.4 	 C1 - 4.0 mA	 C2 - 3.0 mA 	 (0.90 / 0.92) 
173.	 78.4 	 C1 - 4.5 mA	 C0 - 2.0 mA 	 (0.89 / 1.00) 
174.	 78.3 	 C1 - 3.0 mA	 C2 - 2.0 mA 	 (0.95 / 0.98) 
175.	 78.2 	 C1 - 1.5 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
176.	 78.2 	 C1 - 1.5 mA	 C3 - 1.5 mA 	 (1.00 / 0.74) 
177.	 78.2 	 C1 - 5.0 mA	 C2 - 3.5 mA 	 (0.87 / 0.89) 
178.	 78.1 	 C1 - 4.0 mA	 C0 - 2.0 mA 	 (0.90 / 1.00) 
179.	 78.1 	 C0 - 5.5 mA	 C2 - 3.5 mA 	 (0.58 / 0.89) 
180.	 78.0 	 C0 - 3.5 mA	 C3 - 3.0 mA 	 (0.63 / 0.64) 
181.	 78.0 	 C1 - 1.5 mA	 C2 - 1.5 mA 	 (1.00 / 0.99) 
182.	 78.0 	 C0 - 4.0 mA	 C2 - 3.5 mA 	 (0.61 / 0.89) 
183.	 78.0 	 C1 - 5.5 mA	 C1 - 2.5 mA 	 (0.85 / 1.00) 
184.	 77.9 	 C1 - 5.5 mA	 C0 - 5.5 mA 	 (0.85 / 0.94) 
185.	 77.9 	 C0 - 5.0 mA	 C2 - 3.5 mA 	 (0.59 / 0.89) 
186.	 77.9 	 C0 - 4.5 mA	 C2 - 3.5 mA 	 (0.60 / 0.89) 
187.	 77.9 	 C1 - 3.5 mA	 C3 - 2.0 mA 	 (0.93 / 0.69) 
