			Lead Left Left_VTA	Lead Right Right_VTA
-------------------------------------------
DIPS
151.	 59.3 	 C0 - 4.0 mA	 C3 - 5.0 mA 	 (1.00 / 0.91) 
152.	 59.3 	 C1 - 5.0 mA	 C0 - 1.0 mA 	 (1.00 / 1.00) 
153.	 59.3 	 C2 - 2.0 mA	 C3 - 1.0 mA 	 (1.00 / 1.00) 
154.	 59.2 	 C3 - 1.0 mA	 C1 - 1.0 mA 	 (1.00 / 1.00) 
155.	 59.0 	 C2 - 4.0 mA	 C3 - 2.0 mA 	 (1.00 / 1.00) 
156.	 58.8 	 C1 - 1.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
157.	 58.8 	 C1 - 4.0 mA	 C3 - 5.0 mA 	 (1.00 / 0.91) 
158.	 58.8 	 C0 - 4.0 mA	 C2 - 1.0 mA 	 (1.00 / 1.00) 
159.	 58.6 	 C2 - 2.0 mA	 C3 - 4.0 mA 	 (1.00 / 0.94) 
160.	 58.5 	 C1 - 3.0 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
161.	 58.4 	 C3 - 3.0 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
162.	 58.3 	 C2 - 3.0 mA	 C3 - 3.0 mA 	 (1.00 / 0.97) 
163.	 58.3 	 C1 - 3.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
164.	 58.2 	 C3 - 3.0 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
165.	 57.8 	 C0 - 5.0 mA	 C3 - 5.0 mA 	 (1.00 / 0.91) 
166.	 57.8 	 C3 - 5.0 mA	 C3 - 4.0 mA 	 (0.97 / 0.94) 
167.	 57.7 	 C3 - 4.0 mA	 C3 - 5.0 mA 	 (0.98 / 0.91) 
168.	 57.6 	 C3 - 5.0 mA	 C3 - 1.0 mA 	 (0.97 / 1.00) 
169.	 57.6 	 C1 - 5.0 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
170.	 57.5 	 C1 - 2.0 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
171.	 57.5 	 C0 - 1.0 mA	 C3 - 5.0 mA 	 (1.00 / 0.91) 
172.	 57.5 	 C1 - 4.0 mA	 C2 - 1.0 mA 	 (1.00 / 1.00) 
173.	 57.4 	 C2 - 4.0 mA	 C3 - 3.0 mA 	 (1.00 / 0.97) 
174.	 57.2 	 C0 - 3.0 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
175.	 56.9 	 C3 - 2.0 mA	 C2 - 3.0 mA 	 (1.00 / 1.00) 
176.	 56.9 	 C1 - 5.0 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
177.	 56.8 	 C1 - 5.0 mA	 C2 - 2.0 mA 	 (1.00 / 1.00) 
178.	 56.5 	 C2 - 2.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
179.	 56.4 	 C0 - 3.0 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
180.	 56.3 	 C1 - 3.0 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
181.	 56.2 	 C3 - 4.0 mA	 C2 - 1.0 mA 	 (0.98 / 1.00) 
182.	 56.0 	 C3 - 5.0 mA	 C0 - 4.0 mA 	 (0.97 / 1.00) 
183.	 56.0 	 C1 - 2.0 mA	 C3 - 5.0 mA 	 (1.00 / 0.91) 
184.	 55.9 	 C0 - 5.0 mA	 C2 - 1.0 mA 	 (1.00 / 1.00) 
185.	 55.8 	 C0 - 2.0 mA	 C1 - 1.0 mA 	 (1.00 / 1.00) 
186.	 55.7 	 C0 - 3.0 mA	 C2 - 2.0 mA 	 (1.00 / 1.00) 
187.	 55.7 	 C0 - 4.0 mA	 C1 - 1.0 mA 	 (1.00 / 1.00) 
188.	 55.5 	 C2 - 1.0 mA	 C1 - 1.0 mA 	 (1.00 / 1.00) 
189.	 55.4 	 C1 - 4.0 mA	 C1 - 1.0 mA 	 (1.00 / 1.00) 
190.	 55.4 	 C1 - 1.0 mA	 C3 - 5.0 mA 	 (1.00 / 0.91) 
191.	 55.2 	 C1 - 5.0 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
192.	 55.0 	 C1 - 1.0 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
193.	 55.0 	 C1 - 5.0 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
194.	 54.9 	 C3 - 3.0 mA	 C2 - 3.0 mA 	 (1.00 / 1.00) 
195.	 54.8 	 C1 - 3.0 mA	 C3 - 5.0 mA 	 (1.00 / 0.91) 
196.	 54.8 	 C3 - 1.0 mA	 C0 - 1.0 mA 	 (1.00 / 1.00) 
197.	 54.5 	 C2 - 5.0 mA	 C3 - 4.0 mA 	 (1.00 / 0.94) 
198.	 54.1 	 C1 - 4.0 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
199.	 54.1 	 C1 - 4.0 mA	 C0 - 1.0 mA 	 (1.00 / 1.00) 
200.	 54.1 	 C0 - 3.0 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
201.	 54.0 	 C1 - 4.0 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
202.	 53.9 	 C3 - 5.0 mA	 C3 - 5.0 mA 	 (0.97 / 0.91) 
203.	 53.9 	 C0 - 4.0 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
204.	 53.8 	 C0 - 4.0 mA	 C0 - 1.0 mA 	 (1.00 / 1.00) 
205.	 53.7 	 C3 - 4.0 mA	 C1 - 1.0 mA 	 (0.98 / 1.00) 
206.	 53.7 	 C0 - 4.0 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
207.	 53.6 	 C0 - 2.0 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
208.	 53.6 	 C0 - 3.0 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
209.	 53.5 	 C2 - 1.0 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
210.	 53.4 	 C0 - 5.0 mA	 C1 - 1.0 mA 	 (1.00 / 1.00) 
211.	 53.2 	 C0 - 2.0 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
212.	 53.1 	 C3 - 1.0 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
213.	 52.9 	 C2 - 1.0 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
214.	 52.8 	 C3 - 4.0 mA	 C0 - 1.0 mA 	 (0.98 / 1.00) 
215.	 52.8 	 C0 - 5.0 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
216.	 52.5 	 C3 - 5.0 mA	 C0 - 5.0 mA 	 (0.97 / 1.00) 
217.	 52.5 	 C0 - 2.0 mA	 C0 - 1.0 mA 	 (1.00 / 1.00) 
218.	 52.4 	 C1 - 4.0 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
219.	 52.3 	 C3 - 1.0 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
220.	 52.3 	 C1 - 3.0 mA	 C2 - 1.0 mA 	 (1.00 / 1.00) 
