			Lead Left DEFAULT	Lead Right DEFAULT
-------------------------------------------
DIPS
81.	 84.3 	 C1 - 5.5 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
82.	 84.3 	 C2 - 3.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
83.	 84.3 	 C0 - 3.0 mA	 C0 - 5.5 mA 	 (1.00 / 0.99) 
84.	 83.6 	 C2 - 3.5 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
85.	 83.4 	 C0 - 2.5 mA	 C0 - 5.5 mA 	 (1.00 / 0.99) 
86.	 83.4 	 C2 - 2.5 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
87.	 83.2 	 C3 - 2.5 mA	 C0 - 4.5 mA 	 (0.85 / 1.00) 
88.	 83.2 	 C2 - 1.5 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
89.	 83.2 	 C2 - 4.0 mA	 C0 - 5.5 mA 	 (0.98 / 0.99) 
90.	 82.8 	 C2 - 3.0 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
91.	 82.5 	 C0 - 3.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
92.	 82.2 	 C0 - 4.5 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
93.	 82.2 	 C3 - 1.5 mA	 C0 - 2.5 mA 	 (0.93 / 1.00) 
94.	 82.1 	 C2 - 4.0 mA	 C0 - 5.0 mA 	 (0.98 / 1.00) 
95.	 82.0 	 C2 - 3.5 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
96.	 81.9 	 C3 - 2.5 mA	 C0 - 4.0 mA 	 (0.85 / 1.00) 
97.	 81.7 	 C0 - 2.5 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
98.	 81.6 	 C1 - 3.0 mA	 C0 - 5.5 mA 	 (1.00 / 0.99) 
99.	 81.4 	 C2 - 3.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
100.	 81.3 	 C1 - 3.5 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
101.	 81.0 	 C0 - 3.5 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
102.	 80.9 	 C2 - 2.5 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
103.	 80.6 	 C2 - 3.5 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
104.	 80.5 	 C2 - 4.0 mA	 C0 - 4.5 mA 	 (0.98 / 1.00) 
105.	 80.4 	 C3 - 2.0 mA	 C0 - 3.0 mA 	 (0.88 / 1.00) 
106.	 80.4 	 C0 - 5.5 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
107.	 80.3 	 C1 - 3.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
108.	 79.9 	 C0 - 4.0 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
109.	 79.8 	 C1 - 5.0 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
110.	 79.7 	 C1 - 4.5 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
111.	 79.6 	 C1 - 5.5 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
112.	 79.6 	 C3 - 2.5 mA	 C0 - 3.5 mA 	 (0.85 / 1.00) 
113.	 79.5 	 C2 - 4.5 mA	 C0 - 5.5 mA 	 (0.97 / 0.99) 
114.	 79.5 	 C3 - 3.0 mA	 C0 - 5.5 mA 	 (0.83 / 0.99) 
115.	 79.3 	 C0 - 5.5 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
116.	 79.1 	 C2 - 4.0 mA	 C0 - 4.0 mA 	 (0.98 / 1.00) 
117.	 79.0 	 C0 - 5.5 mA	 C3 - 1.5 mA 	 (1.00 / 1.00) 
118.	 79.0 	 C0 - 3.0 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
119.	 78.9 	 C2 - 3.0 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
120.	 78.9 	 C0 - 5.5 mA	 C3 - 3.5 mA 	 (1.00 / 1.00) 
121.	 78.7 	 C1 - 4.0 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
122.	 78.7 	 C0 - 5.5 mA	 C3 - 4.0 mA 	 (1.00 / 1.00) 
123.	 78.5 	 C3 - 3.0 mA	 C0 - 5.0 mA 	 (0.83 / 1.00) 
