			Lead Left	Lead Right
-------------------------------------------
DIPS
101.	 97.9 	 C1 - 4.0 mA	 C3 - 2.5 mA 	 (0.52 / 0.67) 
102.	 97.8 	 C2 - 5.5 mA	 C1 - 5.0 mA 	 (0.79 / 0.17) 
103.	 97.8 	 C2 - 2.5 mA	 C3 - 1.5 mA 	 (0.93 / 0.72) 
104.	 97.8 	 C2 - 4.5 mA	 C3 - 2.0 mA 	 (0.84 / 0.69) 
105.	 97.8 	 C2 - 5.0 mA	 C1 - 5.0 mA 	 (0.81 / 0.17) 
106.	 97.8 	 C2 - 5.5 mA	 C0 - 3.5 mA 	 (0.79 / 0.01) 
107.	 97.7 	 C1 - 5.0 mA	 C0 - 2.5 mA 	 (0.51 / 0.00) 
108.	 97.7 	 C2 - 5.0 mA	 C0 - 3.5 mA 	 (0.81 / 0.01) 
109.	 97.7 	 C2 - 4.5 mA	 C2 - 5.0 mA 	 (0.84 / 0.39) 
110.	 97.7 	 C1 - 4.0 mA	 C2 - 4.0 mA 	 (0.52 / 0.39) 
111.	 97.7 	 C2 - 4.0 mA	 C0 - 3.0 mA 	 (0.86 / 0.00) 
112.	 97.7 	 C1 - 3.5 mA	 C2 - 5.5 mA 	 (0.54 / 0.39) 
113.	 97.7 	 C2 - 5.5 mA	 C2 - 4.5 mA 	 (0.79 / 0.39) 
114.	 97.6 	 C1 - 5.0 mA	 C1 - 4.5 mA 	 (0.51 / 0.15) 
115.	 97.6 	 C2 - 5.0 mA	 C2 - 4.5 mA 	 (0.81 / 0.39) 
116.	 97.6 	 C2 - 4.0 mA	 C2 - 5.5 mA 	 (0.86 / 0.39) 
117.	 97.4 	 C2 - 4.0 mA	 C1 - 5.5 mA 	 (0.86 / 0.18) 
118.	 97.3 	 C2 - 3.0 mA	 C0 - 3.0 mA 	 (0.91 / 0.00) 
119.	 97.3 	 C1 - 5.5 mA	 C1 - 4.0 mA 	 (0.50 / 0.14) 
120.	 97.3 	 C2 - 2.0 mA	 C0 - 2.5 mA 	 (0.96 / 0.00) 
121.	 97.2 	 C1 - 4.5 mA	 C3 - 5.5 mA 	 (0.51 / 0.60) 
122.	 97.1 	 C2 - 4.5 mA	 C1 - 5.0 mA 	 (0.84 / 0.17) 
123.	 97.1 	 C2 - 2.5 mA	 C1 - 5.5 mA 	 (0.93 / 0.18) 
124.	 97.1 	 C1 - 4.5 mA	 C1 - 5.0 mA 	 (0.51 / 0.17) 
125.	 97.1 	 C2 - 4.5 mA	 C2 - 4.5 mA 	 (0.84 / 0.39) 
126.	 97.0 	 C2 - 4.0 mA	 C3 - 2.0 mA 	 (0.86 / 0.69) 
127.	 97.0 	 C1 - 4.5 mA	 C3 - 3.5 mA 	 (0.51 / 0.65) 
128.	 97.0 	 C2 - 3.0 mA	 C1 - 5.5 mA 	 (0.91 / 0.18) 
129.	 97.0 	 C1 - 5.0 mA	 C0 - 3.0 mA 	 (0.51 / 0.00) 
130.	 96.9 	 C1 - 5.0 mA	 C2 - 2.5 mA 	 (0.51 / 0.38) 
131.	 96.9 	 C2 - 3.5 mA	 C0 - 3.0 mA 	 (0.88 / 0.00) 
132.	 96.8 	 C2 - 4.0 mA	 C2 - 5.0 mA 	 (0.86 / 0.39) 
133.	 96.7 	 C1 - 4.5 mA	 C3 - 5.0 mA 	 (0.51 / 0.61) 
134.	 96.7 	 C1 - 5.5 mA	 C0 - 3.5 mA 	 (0.50 / 0.01) 
135.	 96.7 	 C2 - 5.5 mA	 C3 - 2.5 mA 	 (0.79 / 0.67) 
136.	 96.7 	 C2 - 4.5 mA	 C0 - 3.5 mA 	 (0.84 / 0.01) 
137.	 96.7 	 C2 - 3.5 mA	 C1 - 5.5 mA 	 (0.88 / 0.18) 
138.	 96.6 	 C2 - 5.0 mA	 C3 - 2.5 mA 	 (0.81 / 0.67) 
