			3387-Left	3387-Right
-------------------------------------------
DIPS
1.	 80.4 	 C1 - 1.5 mA	 C0 - 1.5 mA 	 (0.78 / 0.78) 
no DIPSalt.settings found
-------------------------------------------
110.	 69.2 	 C3 - 3.0 mA	 C1 - 4.0 mA 	 (0.05 / 0.84) 
111.	 69.2 	 C0 - 2.5 mA	 C0 - 1.5 mA 	 (0.62 / 0.78) 
112.	 69.1 	 C0 - 2.0 mA	 C0 - 2.0 mA 	 (0.64 / 0.74) 
113.	 69.1 	 C0 - 2.5 mA	 C0 - 2.5 mA 	 (0.62 / 0.71) 
114.	 69.0 	 C3 - 3.0 mA	 C0 - 4.0 mA 	 (0.05 / 0.66) 
115.	 69.0 	 C0 - 5.0 mA	 C0 - 3.0 mA 	 (0.57 / 0.70) 
116.	 68.9 	 C3 - 2.5 mA	 C1 - 4.5 mA 	 (0.03 / 0.83) 
117.	 68.9 	 C1 - 2.0 mA	 C1 - 4.5 mA 	 (0.73 / 0.83) 
118.	 68.9 	 C3 - 3.0 mA	 C1 - 3.5 mA 	 (0.05 / 0.86) 
119.	 68.9 	 C0 - 3.5 mA	 C0 - 3.0 mA 	 (0.61 / 0.70) 
120.	 68.9 	 C1 - 2.5 mA	 C0 - 4.0 mA 	 (0.70 / 0.66) 
121.	 68.9 	 C3 - 2.5 mA	 C0 - 5.0 mA 	 (0.03 / 0.64) 
122.	 68.8 	 C0 - 4.0 mA	 C0 - 3.0 mA 	 (0.59 / 0.70) 
123.	 68.8 	 C3 - 2.5 mA	 C1 - 3.0 mA 	 (0.03 / 0.89) 
124.	 68.8 	 C1 - 2.0 mA	 C1 - 3.0 mA 	 (0.73 / 0.89) 
125.	 68.7 	 C1 - 3.0 mA	 C0 - 3.5 mA 	 (0.68 / 0.68) 
126.	 68.7 	 C3 - 2.5 mA	 C0 - 5.5 mA 	 (0.03 / 0.63) 
127.	 68.7 	 C3 - 1.5 mA	 C1 - 5.5 mA 	 (0.00 / 0.80) 
128.	 68.7 	 C1 - 4.5 mA	 C0 - 2.0 mA 	 (0.61 / 0.74) 
129.	 68.7 	 C0 - 4.5 mA	 C0 - 3.0 mA 	 (0.59 / 0.70) 
130.	 68.6 	 C1 - 2.5 mA	 C0 - 4.5 mA 	 (0.70 / 0.65) 
131.	 68.6 	 C3 - 3.0 mA	 C0 - 4.5 mA 	 (0.05 / 0.65) 
132.	 68.6 	 C0 - 3.0 mA	 C0 - 3.0 mA 	 (0.62 / 0.70) 
133.	 68.5 	 C1 - 4.0 mA	 C0 - 3.0 mA 	 (0.63 / 0.70) 
134.	 68.4 	 C0 - 2.0 mA	 C0 - 2.5 mA 	 (0.64 / 0.71) 
135.	 68.3 	 C0 - 2.0 mA	 C0 - 1.5 mA 	 (0.64 / 0.78) 
136.	 68.3 	 C1 - 4.5 mA	 C0 - 2.5 mA 	 (0.61 / 0.71) 
137.	 68.3 	 C3 - 4.0 mA	 C0 - 2.0 mA 	 (0.07 / 0.74) 
138.	 68.1 	 C1 - 2.5 mA	 C0 - 5.0 mA 	 (0.70 / 0.64) 
139.	 68.0 	 C0 - 5.5 mA	 C0 - 3.5 mA 	 (0.57 / 0.68) 
140.	 68.0 	 C1 - 2.5 mA	 C1 - 4.0 mA 	 (0.70 / 0.84) 
141.	 68.0 	 C1 - 4.5 mA	 C0 - 1.5 mA 	 (0.61 / 0.78) 
142.	 68.0 	 C1 - 2.5 mA	 C0 - 5.5 mA 	 (0.70 / 0.63) 
143.	 67.9 	 C1 - 3.5 mA	 C0 - 3.5 mA 	 (0.65 / 0.68) 
144.	 67.9 	 C3 - 3.0 mA	 C0 - 5.0 mA 	 (0.05 / 0.64) 
145.	 67.9 	 C1 - 3.0 mA	 C0 - 4.0 mA 	 (0.68 / 0.66) 
146.	 67.8 	 C0 - 2.5 mA	 C0 - 3.0 mA 	 (0.62 / 0.70) 
147.	 67.8 	 C3 - 3.0 mA	 C1 - 4.5 mA 	 (0.05 / 0.83) 
148.	 67.8 	 C1 - 2.5 mA	 C1 - 3.5 mA 	 (0.70 / 0.86) 
149.	 67.7 	 C3 - 3.0 mA	 C0 - 5.5 mA 	 (0.05 / 0.63) 
150.	 67.7 	 C0 - 5.0 mA	 C0 - 3.5 mA 	 (0.57 / 0.68) 
151.	 67.7 	 C1 - 3.0 mA	 C0 - 4.5 mA 	 (0.68 / 0.65) 
152.	 67.6 	 C0 - 1.5 mA	 C0 - 3.0 mA 	 (0.66 / 0.70) 
